date,pm25,pm10,o3,no2,so2,co
2021-12-16,1.0416666666666667,0.1875,0.42857142857142855,0.2,0.4,0.2
2021-12-17,0.34375,0.20833333333333334,0.4489795918367347,0.16,0.4,0.2
2021-12-18,0.40625,0.20833333333333334,0.3877551020408163,0.12,0.4,0.2
2021-12-19,0.4270833333333333,0.10416666666666667,0.46938775510204084,0.16,0.4,0.2
2021-12-20,0.17708333333333334,0.1875,0.46938775510204084,0.24,0.4,0.2
2021-12-21,0.2916666666666667,0.5,0.2653061224489796,0.72,0.6,0.4
2021-12-22,0.6979166666666666,0.5625,0.3673469387755102,0.64,0.6,0.5
2021-12-23,0.7916666666666666,0.7916666666666666,0.16326530612244897,0.6,0.6,0.5
2021-12-24,1.0729166666666667,0.3958333333333333,0.5102040816326531,0.44,0.4,0.3
2021-12-25,0.65625,0.25,0.5102040816326531,0.44,0.4,0.2
2021-12-26,0.34375,0.5833333333333334,0.2653061224489796,0.92,0.6,0.5
2021-12-27,0.8125,0.375,0.30612244897959184,0.32,0.4,0.4
2021-12-28,0.6354166666666666,0.3958333333333333,0.16326530612244897,0.44,0.6,0.4
2021-12-29,0.6979166666666666,0.5208333333333334,0.08163265306122448,0.44,0.4,0.5
2021-12-30,0.7604166666666666,0.5,0.2857142857142857,0.4,0.6,0.5
2021-12-31,0.71875,0.2708333333333333,0.40816326530612246,0.16,0.4,0.1
2022-01-01,0.4270833333333333,0.3125,0.30612244897959184,0.44,0.4,0.2
2022-01-02,0.5520833333333334,0.2708333333333333,0.5306122448979592,0.36,0.4,0.2
2022-01-03,0.4479166666666667,0.2708333333333333,0.3469387755102041,0.4,0.4,0.2
2022-01-04,0.4791666666666667,0.16666666666666666,0.5102040816326531,0.44,0.4,0.2
2022-01-05,0.3333333333333333,0.125,0.4489795918367347,0.16,0.4,0.5
2022-01-06,0.1875,0.3125,0.3673469387755102,0.64,0.6,0.7
2022-01-07,0.4583333333333333,0.625,0.22448979591836735,1.0,0.8,0.8
2022-01-08,0.8541666666666666,0.75,0.30612244897959184,0.56,0.6,0.7
2022-01-09,1.0416666666666667,0.6041666666666666,0.40816326530612246,0.64,0.8,0.8
2022-01-10,0.875,0.2708333333333333,0.46938775510204084,0.4,0.6,0.5
2022-01-11,0.4895833333333333,0.5208333333333334,0.3469387755102041,0.56,1.2,0.7
2022-01-12,0.75,0.6666666666666666,0.24489795918367346,0.64,0.8,0.7
2022-01-13,0.8958333333333334,0.3125,0.4489795918367347,0.4,0.6,0.6
2022-01-14,0.5208333333333334,0.2708333333333333,0.5102040816326531,0.28,0.6,0.8
2022-01-15,0.4791666666666667,0.7916666666666666,0.22448979591836735,0.6,0.8,1.0
2022-01-16,1.125,0.2708333333333333,0.5918367346938775,0.24,0.6,0.5
2022-01-17,0.4479166666666667,0.22916666666666666,0.5510204081632653,0.16,0.6,0.4
2022-01-18,0.3333333333333333,0.5416666666666666,0.30612244897959184,0.76,0.8,0.8
2022-01-19,0.75,0.4375,0.4897959183673469,0.48,0.6,0.6
2022-01-20,0.6354166666666666,0.1875,0.5102040816326531,0.2,0.6,0.4
2022-01-21,0.28125,0.10416666666666667,0.5714285714285714,0.16,0.6,0.4
2022-01-22,0.20833333333333334,0.22916666666666666,0.5306122448979592,0.28,0.6,0.6
2022-01-23,0.3854166666666667,0.5625,0.2653061224489796,0.72,0.8,0.7
2022-01-24,0.8020833333333334,0.6875,0.08163265306122448,0.72,0.8,0.8
2022-01-25,0.9375,0.5,0.16326530612244897,0.4,0.8,0.8
2022-01-26,0.78125,0.4375,0.14285714285714285,0.4,0.6,0.7
2022-01-27,0.7083333333333334,0.1875,0.3469387755102041,0.16,0.6,0.6
2022-01-28,0.3125,0.1875,0.30612244897959184,0.2,0.6,0.6
2022-01-29,0.3229166666666667,0.20833333333333334,0.4489795918367347,0.08,0.6,0.6
2022-01-30,0.25,0.3541666666666667,0.32653061224489793,0.36,1.4,0.6
2022-01-31,0.4895833333333333,0.3541666666666667,0.2857142857142857,0.4,0.6,0.5
2022-02-01,0.5729166666666666,0.14583333333333334,0.32653061224489793,0.24,0.4,0.4
2022-02-02,0.28125,0.3541666666666667,0.2653061224489796,0.44,0.6,0.5
2022-02-03,0.4270833333333333,0.6041666666666666,0.1836734693877551,0.68,1.0,0.8
2022-02-04,0.75,0.3958333333333333,0.30612244897959184,0.48,0.6,0.8
2022-02-05,0.5,0.25,0.30612244897959184,0.32,0.4,0.6
2022-02-06,0.4583333333333333,0.14583333333333334,0.40816326530612246,0.16,0.4,0.4
2022-02-07,0.3020833333333333,0.14583333333333334,0.32653061224489793,0.16,0.4,0.4
2022-02-08,0.22916666666666666,0.20833333333333334,0.32653061224489793,0.36,0.4,0.8
2022-02-09,0.2916666666666667,0.5625,0.3469387755102041,0.84,0.6,1.2
2022-02-10,0.75,0.5,0.5510204081632653,0.52,0.4,0.8
2022-02-11,0.6666666666666666,0.25,0.5714285714285714,0.36,0.4,0.6
2022-02-12,0.3958333333333333,0.3333333333333333,0.5306122448979592,0.52,0.8,0.7
2022-02-13,0.5520833333333334,0.5833333333333334,0.42857142857142855,0.48,0.8,0.7
2022-02-14,0.78125,0.5208333333333334,0.4897959183673469,0.52,1.2,0.5
2022-02-15,0.75,0.5625,0.46938775510204084,0.56,0.4,0.3
2022-02-16,0.8020833333333334,0.20833333333333334,0.7142857142857143,0.32,0.4,0.2
2022-02-17,0.34375,0.20833333333333334,0.5918367346938775,0.4,0.4,0.2
2022-02-18,0.2708333333333333,0.2708333333333333,0.6122448979591837,0.4,0.4,0.2
2022-02-19,0.3645833333333333,0.20833333333333334,0.5510204081632653,0.4,0.4,0.3
2022-02-20,0.3645833333333333,0.2916666666666667,0.3877551020408163,0.44,0.4,0.3
2022-02-21,0.53125,0.14583333333333334,0.5714285714285714,0.28,0.4,0.2
2022-02-22,0.28125,0.20833333333333334,0.6326530612244898,0.4,0.4,0.2
